TimeRemaining,AwayPlay,Score,HomePlay
1:45.0, ,84-90,I. Hartenstein enters the game for T. Gibson
1:45.0, ,84-91,J. Randle makes free throw 1 of 2
1:45.0, ,84-92,J. Randle makes free throw 2 of 2
1:34.0,D. Lillard makes 2-pt layup from 1 ft,86-92, 
1:21.0, ,86-94,J. Brunson makes 2-pt jump shot from 17 ft
1:00.0,Shooting foul by I. Quickley (drawn by D. Lillard),86-94, 
1:00.0,D. Lillard makes free throw 1 of 2,87-94, 
1:00.0,D. Lillard misses free throw 2 of 2,87-94, 
1:00.0, ,87-94,Defensive rebound by J. Randle
1:00.0, ,87-94,New York full timeout
0:51.0, ,87-94,Personal foul by B. Lopez (drawn by J. Randle)
0:51.0, ,87-95,J. Randle makes free throw 1 of 2
0:51.0, ,87-96,J. Randle makes free throw 2 of 2
0:33.0,Turnover by D. Lillard (bad pass; steal by J. Randle),87-96, 
0:30.0, ,87-98,J. Hart makes 2-pt dunk at rim (assist by J. Brunson)
0:10.0,Turnover by D. Lillard (bad pass; steal by I. Quickley),87-98, 
0:03.0, ,87-98,I. Quickley misses 3-pt jump shot from 25 ft
0:03.0,Defensive rebound by B. Lopez,87-98, 
11:48.0,K. Middleton makes 3-pt jump shot from 25 ft (assist by C. Payne),90-98, 
11:34.0, ,90-98,Shooting foul by P. Connaughton (drawn by I. Quickley)
11:34.0, ,90-99,I. Quickley makes free throw 1 of 2
11:34.0, ,90-100,I. Quickley makes free throw 2 of 2
11:20.0,K. Middleton misses 3-pt jump shot from 25 ft,90-100, 
11:17.0,Offensive rebound by P. Connaughton,90-100, 
11:10.0,K. Middleton makes 2-pt jump shot from 13 ft,92-100, 
10:52.0, ,92-100,R. Barrett misses 2-pt layup from 2 ft (block by B. Lopez)
10:52.0,Defensive rebound by B. Lopez,92-100, 
10:37.0,K. Middleton misses 3-pt jump shot from 26 ft,92-100, 
10:35.0, ,92-100,Defensive rebound by J. Hart
10:27.0, ,92-102,I. Quickley makes 2-pt jump shot from 13 ft (assist by I. Hartenstein)
10:13.0,B. Lopez misses 3-pt jump shot from 26 ft,92-102, 
10:09.0,Offensive rebound by P. Connaughton,92-102, 
10:07.0,B. Portis misses 3-pt jump shot from 23 ft,92-102, 
10:01.0, ,92-102,Defensive rebound by J. Hart
9:57.0, ,92-104,Q. Grimes makes 2-pt layup from 1 ft (assist by J. Hart)
9:57.0,G. Antetokounmpo enters the game for B. Portis,92-104, 
9:57.0, ,92-104,J. Randle enters the game for R. Barrett
9:57.0, ,92-104,Shooting foul by P. Connaughton (drawn by Q. Grimes)
9:57.0, ,92-104,Q. Grimes misses free throw 1 of 1
9:55.0,Defensive rebound by G. Antetokounmpo,92-104, 
9:40.0,K. Middleton misses 2-pt jump shot from 12 ft,92-104, 
9:37.0, ,92-104,Defensive rebound by J. Randle
9:32.0, ,92-106,J. Hart makes 2-pt layup from 2 ft
9:32.0,Milwaukee full timeout,92-106, 
9:32.0,M. Beasley enters the game for P. Connaughton,92-106, 
9:32.0,B. Portis enters the game for B. Lopez,92-106, 
9:19.0,B. Portis makes 2-pt hook shot from 4 ft,94-106, 
9:00.0, ,94-108,I. Quickley makes 2-pt jump shot from 21 ft (assist by J. Randle)
8:45.0,Turnover by K. Middleton (bad pass),94-108, 
8:27.0, ,94-108,Turnover by J. Randle (bad pass; steal by G. Antetokounmpo)
8:19.0,G. Antetokounmpo misses 2-pt layup from 2 ft,94-108, 
8:18.0, ,94-108,Defensive rebound by J. Randle
8:13.0, ,94-108,Q. Grimes misses 3-pt jump shot from 24 ft
8:12.0,Defensive rebound by Team,94-108, 
8:12.0,D. Lillard enters the game for C. Payne,94-108, 
7:57.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by K. Middleton),96-108, 
7:38.0, ,96-111,I. Quickley makes 3-pt jump shot from 24 ft (assist by I. Hartenstein)
7:18.0,D. Lillard makes 3-pt jump shot from 26 ft,99-111, 
7:03.0, ,99-113,I. Quickley makes 2-pt layup from 1 ft
6:55.0,K. Middleton makes 2-pt jump shot from 12 ft (assist by M. Beasley),101-113, 
6:42.0, ,101-113,New York full timeout
6:42.0,P. Connaughton enters the game for M. Beasley,101-113, 
6:42.0,A. Jackson enters the game for K. Middleton,101-113, 
6:42.0, ,101-113,J. Brunson enters the game for Q. Grimes
6:29.0, ,101-115,J. Brunson makes 2-pt layup from 3 ft
6:13.0,D. Lillard makes 2-pt layup from 2 ft,103-115, 
5:54.0, ,103-117,J. Brunson makes 2-pt layup from 2 ft
5:35.0,D. Lillard misses 3-pt jump shot from 26 ft,103-117, 
5:32.0, ,103-117,Defensive rebound by J. Hart
5:11.0, ,103-119,J. Randle makes 2-pt layup from 3 ft
4:49.0,B. Portis misses 3-pt jump shot from 25 ft,103-119, 
4:45.0, ,103-119,Defensive rebound by I. Hartenstein
4:41.0, ,103-119,Personal foul by B. Portis (drawn by J. Randle)
4:41.0, ,103-119,New York full timeout
4:41.0,K. Middleton enters the game for A. Jackson,103-119, 
4:32.0, ,103-119,J. Brunson misses 2-pt jump shot from 11 ft (block by G. Antetokounmpo)
