TimeRemaining,AwayPlay,Score,HomePlay
2:42.0,L. Dončić makes free throw 2 of 2,58-44, 
2:30.0, ,58-44,Shooting foul by D. Powell (drawn by C. Metu)
2:30.0, ,58-44,C. Metu misses free throw 1 of 2
2:30.0, ,58-44,Offensive rebound by Team
2:30.0, ,58-45,C. Metu makes free throw 2 of 2
2:18.0,D. Jones makes 2-pt dunk from 1 ft (assist by L. Dončić),60-45, 
2:07.0, ,60-47,C. Metu makes 2-pt dunk from 1 ft (assist by K. Durant)
1:50.0,D. Powell makes 2-pt hook shot from 5 ft (assist by L. Dončić),62-47, 
1:30.0, ,62-50,D. Booker makes 3-pt jump shot from 28 ft (assist by G. Allen)
1:18.0,D. Jones misses 2-pt dunk from 1 ft (block by K. Durant),62-50, 
1:16.0, ,62-50,Defensive rebound by D. Booker
1:13.0, ,62-52,G. Allen makes 2-pt layup from 2 ft (assist by D. Booker)
0:59.0,L. Dončić misses 2-pt jump shot from 12 ft,62-52, 
0:58.0, ,62-52,Defensive rebound by G. Allen
0:55.0, ,62-54,D. Booker makes 2-pt layup from 1 ft (assist by K. Durant)
0:36.0,L. Dončić misses 3-pt jump shot from 25 ft,62-54, 
0:34.0,Offensive rebound by D. Jones,62-54, 
0:34.0,D. Jones makes 2-pt dunk at rim,64-54, 
0:14.0, ,64-54,C. Metu misses 2-pt jump shot from 9 ft
0:11.0,Defensive rebound by D. Powell,64-54, 
0:03.0,T. Hardaway misses 3-pt jump shot from 26 ft,64-54, 
0:03.0, ,64-54,Defensive rebound by C. Metu
11:46.0,D. Jones misses 3-pt jump shot from 25 ft,64-54, 
11:41.0, ,64-54,Defensive rebound by C. Metu
11:25.0, ,64-56,K. Durant makes 2-pt jump shot from 18 ft (assist by D. Booker)
11:15.0,D. Jones makes 3-pt jump shot from 24 ft (assist by T. Hardaway),67-56, 
10:56.0, ,67-56,Turnover by C. Metu (bad pass; steal by L. Dončić)
10:53.0,L. Dončić makes 2-pt layup from 1 ft,69-56, 
10:32.0, ,69-56,Personal foul by L. Dončić (drawn by G. Allen)
10:27.0,Violation by Team (kicked ball),69-56, 
10:22.0, ,69-59,E. Gordon makes 3-pt jump shot from 26 ft (assist by K. Durant)
9:59.0,D. Jones makes 2-pt layup from 4 ft (assist by L. Dončić),71-59, 
9:51.0, ,71-62,G. Allen makes 3-pt jump shot from 25 ft
9:31.0,D. Exum misses 3-pt jump shot from 25 ft,71-62, 
9:29.0,Offensive rebound by D. Lively,71-62, 
9:29.0,Shooting foul by G. Allen (drawn by D. Lively),71-62, 
9:29.0,D. Lively misses free throw 1 of 2,71-62, 
9:29.0,Offensive rebound by Team,71-62, 
9:29.0,D. Lively misses free throw 2 of 2,71-62, 
9:29.0, ,71-62,Defensive rebound by Team
9:20.0, ,71-62,C. Metu misses 3-pt jump shot from 23 ft
9:17.0,Defensive rebound by T. Hardaway,71-62, 
9:10.0,L. Dončić makes 2-pt jump shot from 6 ft,73-62, 
8:48.0, ,73-62,Shooting foul by T. Hardaway (drawn by D. Booker)
8:48.0, ,73-62,D. Booker misses free throw 1 of 2
8:48.0, ,73-62,Offensive rebound by Team
8:48.0, ,73-63,D. Booker makes free throw 2 of 2
8:38.0,L. Dončić misses 3-pt jump shot from 29 ft,73-63, 
8:38.0, ,73-63,Defensive rebound by K. Durant
8:27.0, ,73-66,G. Allen makes 3-pt jump shot from 23 ft (assist by D. Booker)
8:14.0,T. Hardaway makes 2-pt layup from 1 ft,75-66, 
8:00.0, ,75-69,E. Gordon makes 3-pt jump shot from 23 ft (assist by D. Booker)
7:43.0,D. Jones misses 2-pt layup from 4 ft,75-69, 
7:43.0, ,75-69,Defensive rebound by C. Metu
7:36.0, ,75-71,E. Gordon makes 2-pt layup from 1 ft (assist by K. Durant)
7:36.0,Dallas full timeout,75-71, 
7:36.0,G. Williams enters the game for D. Lively,75-71, 
7:22.0,L. Dončić makes 2-pt jump shot from 15 ft,77-71, 
7:00.0, ,77-71,Offensive foul by D. Booker (drawn by T. Hardaway)
7:00.0, ,77-71,Turnover by D. Booker (offensive foul)
6:53.0,D. Jones misses 3-pt jump shot from 25 ft,77-71, 
6:48.0, ,77-71,Defensive rebound by D. Booker
6:42.0, ,77-71,E. Gordon misses 3-pt jump shot from 23 ft
6:41.0, ,77-71,Offensive rebound by C. Metu
6:39.0, ,77-71,C. Metu misses 2-pt hook shot from 2 ft (block by L. Dončić)
6:39.0, ,77-71,Offensive rebound by Team
6:39.0,Dallas full timeout,77-71, 
6:39.0,Instant Replay (Challenge: Ruling Stands),77-71, 
6:23.0, ,77-71,C. Metu misses 2-pt layup from 2 ft (block by G. Williams)
6:22.0, ,77-71,Offensive rebound by C. Metu
6:22.0, ,77-71,C. Metu misses 2-pt layup from 2 ft
6:22.0,Defensive rebound by G. Williams,77-71, 
6:10.0,D. Jones misses 3-pt jump shot from 26 ft,77-71, 
6:06.0, ,77-71,Defensive rebound by D. Booker
5:59.0, ,77-71,Shooting foul by D. Exum (drawn by D. Booker)
5:59.0, ,77-72,D. Booker makes free throw 1 of 2
5:59.0,D. Lively enters the game for D. Exum,77-72, 
5:59.0, ,77-72,D. Booker misses free throw 2 of 2
5:57.0,Defensive rebound by G. Williams,77-72, 
5:42.0,D. Jones misses 3-pt jump shot from 24 ft,77-72, 
5:40.0, ,77-72,Defensive rebound by G. Allen
5:33.0, ,77-74,C. Metu makes 2-pt dunk from 1 ft (assist by E. Gordon)
5:23.0,Shooting foul by K. Durant (drawn by L. Dončić),77-74, 
5:23.0,L. Dončić makes free throw 1 of 2,78-74, 
5:23.0,A. Lawson enters the game for D. Jones,78-74, 
5:23.0, ,78-74,J. Okogie enters the game for E. Gordon
5:23.0,L. Dončić makes free throw 2 of 2,79-74, 
5:03.0, ,79-77,G. Allen makes 3-pt jump shot from 25 ft (assist by J. Okogie)
4:50.0,A. Lawson misses 3-pt jump shot from 24 ft,79-77, 
4:46.0, ,79-77,Defensive rebound by K. Durant
4:43.0, ,79-77,Turnover by D. Booker (bad pass)
4:33.0,L. Dončić makes 3-pt jump shot from 26 ft,82-77, 
4:19.0, ,82-77,Shooting foul by D. Lively (drawn by C. Metu)
4:19.0, ,82-78,C. Metu makes free throw 1 of 2
4:19.0, ,82-79,C. Metu makes free throw 2 of 2
4:10.0,T. Hardaway misses 3-pt jump shot from 26 ft,82-79, 
4:07.0, ,82-79,Defensive rebound by C. Metu
4:02.0, ,82-79,D. Booker misses 3-pt jump shot from 26 ft
3:55.0, ,82-79,Offensive rebound by C. Metu
3:55.0, ,82-81,C. Metu makes 2-pt layup at rim
