TimeRemaining,AwayPlay,Score,HomePlay
1:07.0, ,85-88,P. Watson misses 2-pt jump shot from 10 ft
1:02.0,Defensive rebound by T. Jackson-Davis,85-88, 
0:58.0,Shooting foul by P. Watson (drawn by D. Šarić),85-88, 
0:58.0,D. Šarić makes free throw 1 of 2,86-88, 
0:58.0, ,86-88,J. Strawther enters the game for K. Caldwell-Pope
0:58.0,D. Šarić makes free throw 2 of 2,87-88, 
0:44.0, ,87-88,N. Jokić misses 2-pt jump shot from 11 ft
0:42.0, ,87-88,Offensive rebound by N. Jokić
0:41.0, ,87-88,N. Jokić misses 2-pt layup from 2 ft
0:41.0, ,87-88,Offensive rebound by N. Jokić
0:41.0, ,87-88,Shooting foul by T. Jackson-Davis (drawn by N. Jokić)
0:41.0, ,87-89,N. Jokić makes free throw 1 of 2
0:41.0,S. Curry enters the game for T. Jackson-Davis,87-89, 
0:41.0, ,87-90,N. Jokić makes free throw 2 of 2
0:33.0,Shooting foul by P. Watson (drawn by D. Šarić),87-90, 
0:33.0,D. Šarić makes free throw 1 of 2,88-90, 
0:33.0, ,88-90,M. Porter enters the game for C. Braun
0:33.0,D. Šarić makes free throw 2 of 2,89-90, 
0:27.0, ,89-90,Personal foul by D. Šarić (drawn by N. Jokić)
0:27.0, ,89-91,N. Jokić makes free throw 1 of 2
0:27.0, ,89-91,C. Braun enters the game for M. Porter
0:27.0, ,89-92,N. Jokić makes free throw 2 of 2
0:04.0,S. Curry misses 3-pt jump shot from 27 ft,89-92, 
0:04.0,Offensive rebound by D. Šarić,89-92, 
0:00.0,C. Paul misses 3-pt jump shot from 25 ft,89-92, 
0:00.0,Offensive rebound by Team,89-92, 
11:46.0, ,89-92,J. Murray misses 2-pt jump shot from 14 ft
11:43.0,Defensive rebound by A. Wiggins,89-92, 
11:43.0,Turnover by A. Wiggins (out of bounds lost ball),89-92, 
11:26.0, ,89-92,C. Braun misses 2-pt jump shot from 4 ft
11:24.0,Defensive rebound by B. Podziemski,89-92, 
11:20.0,A. Wiggins makes 2-pt layup at rim (assist by B. Podziemski),91-92, 
11:11.0, ,91-92,Offensive foul by C. Braun (drawn by A. Wiggins)
11:11.0, ,91-92,Turnover by C. Braun (offensive foul)
10:55.0,D. Šarić misses 2-pt layup at rim,91-92, 
10:52.0,Offensive rebound by B. Podziemski,91-92, 
10:48.0,D. Šarić makes 2-pt layup from 1 ft,93-92, 
